InventoryLegSK	CarrierCode	FlightNumber	DepartureAirport	ArrivalAirport	DepartureDateTimeLocal	DepartureDateTimeUTC	ArrivalDateTimeLocal	ArrivalDateTimeUTC	ArrivalCountry	DepartureCountry	RouteGroup	Region	FlightCapacity	FlightStatus
9668985	FR	9993	MLA	PSA	2022-08-06 20:30:00	2022-08-06 18:30:00	2022-08-06 22:10:00	2022-08-06 20:10:00	Italy	Malta	LEISURE	S EUR LEISURE	197	Departed
9421665	FR	6035	STN	RMI	2022-04-05 10:00:00	2022-04-05 09:00:00	2022-04-05 13:10:00	2022-04-05 11:10:00	Italy	United Kingdom	CITY	LON CITY	189	Cancelled
9190127	FR	3947	PMO	FCO	2022-06-09 06:25:00	2022-06-09 04:25:00	2022-06-09 07:35:00	2022-06-09 05:35:00	Italy	Italy	DOMESTIC	ROM DOM	189	Departed
8928207	FR	9810	STN	BCN	2022-07-24 08:15:00	2022-07-24 07:15:00	2022-07-24 11:25:00	2022-07-24 09:25:00	Spain	United Kingdom	CITY	LON CITY MULTI	189	Departed
9087907	FR	6320	BCN	VLL	2022-04-13 15:30:00	2022-04-13 13:30:00	2022-04-13 16:55:00	2022-04-13 14:55:00	Spain	Spain	DOMESTIC	BCNMAD DOM	189	Departed
9467491	FR	5191	BRI	BUD	2022-06-04 12:35:00	2022-06-04 10:35:00	2022-06-04 14:05:00	2022-06-04 12:05:00	Hungary	Italy	LEISURE	CE EUR LEISURE	189	Departed
9023401	FR	2986	VLC	BRU	2022-08-31 09:40:00	2022-08-31 07:40:00	2022-08-31 11:55:00	2022-08-31 09:55:00	Belgium	Spain	LEISURE	BENLFR LEISURE	189	Departed
9196458	FR	4858	FCO	CTA	2022-07-16 12:15:00	2022-07-16 10:15:00	2022-07-16 13:30:00	2022-07-16 11:30:00	Italy	Italy	DOMESTIC	ROM DOM	189	Departed
9541000	FR	1918	CRL	VLC	2022-08-02 17:50:00	2022-08-02 15:50:00	2022-08-02 20:00:00	2022-08-02 18:00:00	Spain	Belgium	LEISURE	BENLFR LEISURE	189	Departed
9132804	FR	4645	PMI	FRA	2022-09-24 19:30:00	2022-09-24 17:30:00	2022-09-24 21:55:00	2022-09-24 19:55:00	Germany	Spain	LEISURE	DE LEISURE	189	Cancelled
9520401	FR	8924	PMO	VCE	2022-04-17 20:00:00	2022-04-17 18:00:00	2022-04-17 21:35:00	2022-04-17 19:35:00	Italy	Italy	DOMESTIC	IT DOM	189	Cancelled
9405156	FR	3718	BUD	STN	2022-06-20 18:15:00	2022-06-20 16:15:00	2022-06-20 19:45:00	2022-06-20 18:45:00	United Kingdom	Hungary	CITY	LON CITY MULTI	180	Departed
9480263	FR	4056	WMI	BVA	2022-04-04 06:45:00	2022-04-04 04:45:00	2022-04-04 09:05:00	2022-04-04 07:05:00	France	Poland	CITY	EAST-ESFRIT	189	Departed
9145513	FR	4170	FAO	FRA	2022-05-15 17:45:00	2022-05-15 16:45:00	2022-05-15 21:55:00	2022-05-15 19:55:00	Germany	Portugal	LEISURE	DE LEISURE	189	Cancelled
9174142	FR	9326	VLC	PSA	2022-07-17 19:25:00	2022-07-17 17:25:00	2022-07-17 21:10:00	2022-07-17 19:10:00	Italy	Spain	LEISURE	S EUR LEISURE	189	Departed
9548395	FR	5210	MLA	MAN	2022-08-08 11:20:00	2022-08-08 09:20:00	2022-08-08 13:50:00	2022-08-08 12:50:00	United Kingdom	Malta	LEISURE	UK REG LEISURE	189	Departed
9592836	FR	8498	PMI	BLL	2022-08-05 06:55:00	2022-08-05 04:55:00	2022-08-05 09:55:00	2022-08-05 07:55:00	Denmark	Spain	LEISURE	SCAN LEISURE	189	Departed
9557354	FR	8504	NTE	STN	2022-08-17 16:05:00	2022-08-17 14:05:00	2022-08-17 16:25:00	2022-08-17 15:25:00	United Kingdom	France	CITY	LON CITY	189	Departed
8987890	FR	8354	BUD	STN	2022-06-07 09:50:00	2022-06-07 07:50:00	2022-06-07 11:20:00	2022-06-07 10:20:00	United Kingdom	Hungary	CITY	LON CITY MULTI	189	Departed
9162602	FR	9686	MAD	CIA	2022-04-06 20:30:00	2022-04-06 18:30:00	2022-04-06 22:45:00	2022-04-06 20:45:00	Italy	Spain	CITY	ESPT-IT	189	Cancelled
9867939	FR	3966	BLQ	CAG	2022-04-27 21:30:00	2022-04-27 19:30:00	2022-04-27 22:50:00	2022-04-27 20:50:00	Italy	Italy	DOMESTIC	IT DOM	189	Departed
9710524	FR	868	VCE	NAP	2022-06-09 06:30:00	2022-06-09 04:30:00	2022-06-09 07:45:00	2022-06-09 05:45:00	Italy	Italy	DOMESTIC	IT DOM	189	Departed
9716805	FR	481	VRN	CAG	2022-09-08 08:25:00	2022-09-08 06:25:00	2022-09-08 09:50:00	2022-09-08 07:50:00	Italy	Italy	DOMESTIC	IT DOM	189	Departed
9176259	FR	3018	CGN	CIA	2022-06-01 12:05:00	2022-06-01 10:05:00	2022-06-01 14:00:00	2022-06-01 12:00:00	Italy	Germany	CITY	DE-FRITIE	189	Cancelled
10512054	FR	5904	TRN	PMO	2022-06-16 10:35:00	2022-06-16 08:35:00	2022-06-16 12:20:00	2022-06-16 10:20:00	Italy	Italy	DOMESTIC	IT DOM	189	Departed
9138947	FR	2508	CGN	BCN	2022-06-29 10:50:00	2022-06-29 08:50:00	2022-06-29 13:00:00	2022-06-29 11:00:00	Spain	Germany	CITY	DE-ESPT	189	Departed
